Day,Tea Name,Biscuit Name,Reviewer,Tea Score (out of 10),Biscuit Score (out of 10),Combination Score (out of 10)
19,Rose Pouchong,Piccadilly Macadamia Nut,Sofia,4,6,6
19,Rose Pouchong,Piccadilly Macadamia Nut,Kurtis,5,8,3
19,Rose Pouchong,Piccadilly Macadamia Nut,Skye,7,6,4
19,Rose Pouchong,Piccadilly Macadamia Nut,Laura,7.5,7,9
20,Countess Grey,Fortmason,Sofia,2,8,1
20,Countess Grey,Fortmason,Kurtis,5,5,4
20,Countess Grey,Fortmason,Skye,6,3,5
20,Countess Grey,Fortmason,Laura,8,8,9
21,Royal Blend,Piccadilly Clotted Cream Digestive ,Sofia,10,4,9
21,Royal Blend,Piccadilly Clotted Cream Digestive ,Kurtis,9,1,3
21,Royal Blend,Piccadilly Clotted Cream Digestive ,Skye,10,8,8
21,Royal Blend,Piccadilly Clotted Cream Digestive ,Laura,9,10,10
22,Chai Tea ,Chocolate Macadamia Nut,Sofia,8,2,2
22,Chai Tea ,Chocolate Macadamia Nut,Kurtis,7,4,4
22,Chai Tea ,Chocolate Macadamia Nut,Skye,7,5,6
22,Chai Tea ,Chocolate Macadamia Nut,Laura,8,10,0
23,Black Tea with Plum,Plum and Ginger ,Sofia,6,9,10
23,Black Tea with Plum,Plum and Ginger ,Kurtis,5,8,2
23,Black Tea with Plum,Plum and Ginger ,Skye,8,5,4
23,Black Tea with Plum,Plum and Ginger ,Laura,7,0,3
24,Christmas Black Tea,Merrilossus,Sofia,6,4,1
24,Christmas Black Tea,Merrilossus,Kurtis,8,7,6
24,Christmas Black Tea,Merrilossus,Skye,9,10,10
24,Christmas Black Tea,Merrilossus,Laura,9,9,10
